Núcleo,Posição Geral,Posição Prioridade,Número do processo,Vara,Data Remessa Contadoria,Prioridade,Calculista,Data da atribuição,Cumprimento,Data da conclusão,Valor Total Devido - Custas,Observações,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1ª CC,,,0014962-30.2019.8.17.2001,Seção B da 24ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Cálculo realizado,10/01/2025,"R$ 1.201,40",,,,,,,
1ª CC,,,0037017-67.2022.8.17.2001,Seção B da 22ª Vara Cível da Capital,17/12/2024,Sem prioridade,Cynthia Elisa Ramalho Da Silva,07/01/2025,Cálculo realizado,07/01/2025,"R$ 550,56",,,,,,,
1ª CC,,,0009927-32.2006.8.17.0001,Seção B da 21ª Vara Cível da Capital,17/12/2024,Sem prioridade,Cynthia Elisa Ramalho Da Silva,07/01/2025,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas Satisfeitas,,,,,,
1ª CC,,,0019772-25.2005.8.17.0001,Seção A da 11ª Vara Cível da Capital,17/12/2024,Sem prioridade,Cynthia Elisa Ramalho Da Silva,18/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas Satisfeitas,,,,,,
1ª CC,,,0025075-20.2005.8.17.0001,Seção A da 11ª Vara Cível da Capital,17/12/2024,Sem prioridade,Cynthia Elisa Ramalho Da Silva,18/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas Satisfeitas,,,,,,
1ª CC,,,0042767-21.2020.8.17.2001,Seção A da 11ª Vara Cível da Capital,17/12/2024,Sem prioridade,Cynthia Elisa Ramalho Da Silva,18/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas Satisfeitas,,,,,,
1ª CC,,,0069748-30.2007.8.17.0001,Seção A da 12ª Vara Cível da Capital,17/12/2024,Sem prioridade,Cynthia Elisa Ramalho Da Silva,18/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas Satisfeitas,,,,,,
1ª CC,,,0029209-21.2016.8.17.2001,Seção A da 16ª Vara Cível da Capital,17/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,08/01/2025,Devolvido: não há cálculos a serem realizados,08/01/2025,,Custa pagas,,,,,,
1ª CC,,,0058954-65.2024.8.17.2001,Seção A da 19ª Vara Cível da Capital,17/12/2024,Sem prioridade,Cynthia Elisa Ramalho Da Silva,18/12/2024,Devolvido: cumprimento de sentença,07/01/2025,,,,,,,,
1ª CC,,,0094338-61.2013.8.17.0001,Seção A da 19ª Vara Cível da Capital,17/12/2024,Sem prioridade,Cynthia Elisa Ramalho Da Silva,18/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas Satisfeitas,,,,,,
1ª CC,,,0062953-94.2022.8.17.2001,Seção A da 19ª Vara Cível da Capital,17/12/2024,Sem prioridade,Cynthia Elisa Ramalho Da Silva,18/12/2024,Cálculo realizado,08/01/2025,"R$ 313,41",,,,,,,
1ª CC,,,0006532-26.2018.8.17.2001,Seção A da 28ª Vara Cível da Capital,17/12/2024,Sem prioridade,Cynthia Elisa Ramalho Da Silva,18/12/2024,Devolvido: cumprimento de sentença,08/01/2025,,,,,,,,
1ª CC,,,0037699-33.2007.8.17.0001,Seção A da 25ª Vara Cível da Capital,18/12/2024,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Cálculo realizado,08/01/2025,"R$ 462,90",,,,,,,
1ª CC,,,0077513-12.2020.8.17.2001,Seção A da 23ª Vara Cível da Capital,18/12/2024,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Cálculo realizado,08/01/2025,"R$ 663,11",,,,,,,
1ª CC,,,0060992-89.2020.8.17.2001,Seção B da 15ª Vara Cível da Capital,18/12/2024,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Cálculo realizado,08/01/2025,"R$ 6.494,34",,,,,,,
1ª CC,,,0090692-08.2023.8.17.2001,Seção A da 6ª Vara Cível da Capital,18/12/2024,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Cálculo realizado,08/01/2025,"R$ 527,24",,,,,,,
1ª CC,,,0009358-21.2012.8.17.0001,Seção A da 5ª Vara Cível da Capital,18/12/2024,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Devolvido: não há cálculos a serem realizados,08/01/2025,,Custas pagas,,,,,,
1ª CC,,,0003352-61.2013.8.17.0001,Seção B da 7ª Vara Cível da Capital,19/12/2024,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Cálculo realizado,08/01/2025,"R$ 14.449,11",,,,,,,
1ª CC,,,0006241-16.2024.8.17.2001,Seção A da 10ª Vara Cível da Capital,19/12/2024,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Cálculo realizado,08/01/2025,"R$ 4.104,78",,,,,,,
1ª CC,,,0017087-92.2024.8.17.2001,Seção A da 22ª Vara Cível da Capital,19/12/2024,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Devolvido: não há cálculos a serem realizados,08/01/2025,,Custas pagas,,,,,,
1ª CC,,,0001791-30.2024.8.17.2001,Seção A da 24ª Vara Cível da Capital,19/12/2024,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Cálculo realizado,08/01/2025,"R$ 414,62",,,,,,,
1ª CC,,,0081279-45.2022.8.17.2990,Seção B da 34ª Vara Cível da Capital,19/12/2024,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Devolvido: não há cálculos a serem realizados,08/01/2025,,Custas pagas,,,,,,
1ª CC,,,0046896-40.2018.8.17.2001,Seção A da 28ª Vara Cível da Capital,19/12/2024,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Cálculo realizado,08/01/2025,"R$ 1.456,12",,,,,,,
1ª CC,,,0003824-62.2013.8.17.0001,Seção A da 20ª Vara Cível da Capital,07/01/2025,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Devolvido: não há cálculos a serem realizados,09/01/2025,,Custas pagas,,,,,,
1ª CC,,,0090049-89.2019.8.17.2001,Seção A da 17ª Vara Cível da Capital,08/01/2025,Super prioridade,Joao Rafael Sabino Pereira,08/01/2025,Cálculo realizado,09/01/2025,"R$ 686,94",,,,,,,
1ª CC,,,0109646-68.2024.8.17.2001,Seção B da 34ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,09/01/2025,"R$ 305,75",,,,,,,
1ª CC,,,0100091-27.2024.8.17.2001,Seção B da 36ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,09/01/2025,"R$ 2.307,20",,,,,,,
1ª CC,,,0022744-15.2024.8.17.2001,Seção B da 2ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,09/01/2025,"R$ 223,83",,,,,,,
1ª CC,,,0002169-54.2022.8.17.2001,Seção B da 19ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,09/01/2025,"R$ 455,50",,,,,,,
1ª CC,,,0129509-78.2022.8.17.2001,Seção B da 18ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,09/01/2025,"R$ 615,90",,,,,,,
1ª CC,,,0088721-51.2024.8.17.2001,Seção A da 28ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,09/01/2025,,Custas pagas,,,,,,
1ª CC,,,0041986-57.2024.8.17.2001,Seção A da 23ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,09/01/2025,"R$ 174,82",,,,,,,
1ª CC,,,0027546-71.2015.8.17.2001,Seção A da 23ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,09/01/2025,,Custas pagas,,,,,,
1ª CC,,,0024096-08.2024.8.17.2001,Seção A da 21ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: cumprimento de sentença,09/01/2025,,,,,,,,
1ª CC,,,0094861-04.2024.8.17.2001,Seção A da 20ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,09/01/2025,"R$ 163,78",,,,,,,
1ª CC,,,0086453-58.2023.8.17.2001,Seção A da 20ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,09/01/2025,,Custas pagas,,,,,,
1ª CC,,,0106590-95.2022.8.17.2001,Seção A da 19ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,09/01/2025,"R$ 2.243,00",,,,,,,
1ª CC,,,0016114-79.2020.8.17.2001,Seção A da 12ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: atualizar o valor da causa,09/01/2025,,,,,,,,
1ª CC,,,0027110-15.2015.8.17.2001,Seção A da 11ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,09/01/2025,"R$ 2.464,40",,,,,,,
1ª CC,,,0025576-36.2015.8.17.2001,Seção B da 16ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,09/01/2025,,Custas pagas,,,,,,
1ª CC,,,0021479-75.2024.8.17.2001,Seção B da 12ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,09/01/2025,"R$ 194,55",,,,,,,
1ª CC,,,0004151-35.2024.8.17.2001,Seção B da 11ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,09/01/2025,"R$ 621,94",,,,,,,
1ª CC,,,0016907-81.2021.8.17.2001,Seção B da 10ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,10/01/2025,,Custas dispensadas,,,,,,
1ª CC,,,0034179-83.2024.8.17.2001,Seção A da 7ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,10/01/2025,"R$ 351,69",,,,,,,
1ª CC,,,0042708-33.2020.8.17.2001,Seção B da 9ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,10/01/2025,"R$ 10.341,73",,,,,,,
1ª CC,,,0016307-55.2024.8.17.2001,Seção A da 5ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,10/01/2025,"R$ 3.988,46",,,,,,,
1ª CC,,,0093045-21.2023.8.17.2001,Seção A da 36ª Vara Cível da Capital,18/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,10/01/2025,"R$ 506,68",,,,,,,
1ª CC,,,0043935-19.2024.8.17.2001,Seção B da 33ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,10/01/2025,,Custas pagas,,,,,,
1ª CC,,,0024247-71.2024.8.17.2001,Seção B da 33ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: cumprimento de sentença,10/01/2025,,,,,,,,
1ª CC,,,0123508-09.2024.8.17.2001,Seção A da 28ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,10/01/2025,,Custas dispensadas,,,,,,
1ª CC,,,0023333-12.2021.8.17.2001,Seção A da 1ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,10/01/2025,"R$ 191,92",,,,,,,
1ª CC,,,0042838-28.2017.8.17.2001,Seção A da 33ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,10/01/2025,,Custas pagas,,,,,,
1ª CC,,,0020129-67.2015.8.17.2001,Seção B da 20ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,10/01/2025,,Gratuidade,,,,,,
1ª CC,,,0040952-18.2022.8.17.2001,Seção A da 9ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,10/01/2025,"R$ 1.267,08",,,,,,,
1ª CC,,,0033845-25.2019.8.17.2001,Seção A da 6ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,10/01/2025,,Gratuidade,,,,,,
1ª CC,,,0118063-10.2024.8.17.2001,Seção B da 28ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,10/01/2025,"R$ 435,88",,,,,,,
1ª CC,,,0044712-04.2024.8.17.2001,Seção A da 31ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,10/01/2025,"R$ 145,48",,,,,,,
1ª CC,,,0034008-29.2024.8.17.2001,Seção A da 22ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,10/01/2025,"R$ 409,40",,,,,,,
1ª CC,,,0024460-77.2024.8.17.2001,Seção A da 21ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,10/01/2025,"R$ 5.421,06",,,,,,,
1ª CC,,,0045887-04.2022.8.17.2001,Seção A da 1ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,10/01/2025,"R$ 344,90",,,,,,,
1ª CC,,,0170765-98.2022.8.17.2001,Seção B da 4ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,13/01/2025,"R$ 560,92",,,,,,,
1ª CC,,,0051578-96.2022.8.17.2001,Seção A da 22ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,13/01/2025,,Gratuidade,,,,,,
1ª CC,,,0165610-17.2022.8.17.2001,Seção A da 16ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,13/01/2025,,custas pagas,,,,,,
1ª CC,,,0042569-23.2016.8.17.2001,Seção B da 9ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,13/01/2025,,custas pagas,,,,,,
1ª CC,,,0025724-71.2020.8.17.2001,Seção A da 17ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Devolvido: não há cálculos a serem realizados,13/01/2025,,gratuidade,,,,,,
1ª CC,,,0038586-11.2019.8.17.2001,Seção A da 30ª Vara Cível da Capital,19/12/2024,Prioridade Legal,Marcelle Ribera Menezes,08/01/2025,Cálculo realizado,13/01/2025,"R$ 863,70",,,,,,,
